Sektör,reklam suresi SN,reklam maliyeti TL,ORTALAMA REYTING (TOPLAM İZLENME ORANI) %,ORTALAMA SHARE (İZLENME PAYI) % :,ORTALAMA AB grubu İzlenme %,prime time yayın oranı %,Diğer yayın zamanı oranı,Haftasonu REYTING (TOPLAM İZLENME ORANI) %,Satışa Etkisi
OTOMOTİVE,53.2,60886.4,0.40,0.08,0.53,0.88,0.12,0.62,AZ
MOBİLYA,46.1,63365.51,0.35,0.60,0.76,0.64,0.36,0.09,AZ
OTOMOTİVE,40.2,51393.13,0.28,0.08,0.17,0.25,0.75,0.29,AZ
DİĞER,48.3,59630.28,0.53,0.74,0.62,0.69,0.31,0.66,AZ
GİYİM,42.5,62929.64,0.30,0.42,0.69,0.63,0.37,0.34,AZ
DİĞER,58.2,60257.15,0.48,0.90,0.05,0.08,0.92,0.58,AZ
BEYAZ EŞYA,53.2,62099.37,0.49,0.97,0.47,0.01,0.99,0.66,AZ
DİĞER,49.2,60416.78,0.34,0.89,0.82,0.26,0.74,0.77,AZ
GIDA,55.2,57891.66,0.37,0.88,0.31,0.60,0.40,0.02,AZ
OTOMOTİVE,39.5,57538.51,0.30,0.84,0.67,0.34,0.66,0.80,AZ
GİYİM,37.9,67033.62,0.48,0.02,0.13,0.74,0.26,0.37,AZ
GIDA,11.1,67749.81,0.39,0.39,0.54,0.46,0.54,0.97,AZ
BEYAZ EŞYA,52.8,66004.07,0.33,0.17,0.43,0.66,0.34,0.15,AZ
GIDA,34.4,52691.97,0.16,0.55,0.15,0.63,0.37,0.71,AZ
OTOMOTİVE,30.1,64770.73,0.25,0.38,0.66,0.01,0.99,0.34,AZ
GIDA,51.5,44329.82,0.23,0.27,0.26,0.87,0.13,0.27,AZ
GIDA,27,56676.96,0.46,0.39,0.61,0.80,0.20,0.21,AZ
OTOMOTİVE,40.4,69802.24,0.17,0.78,0.78,0.74,0.26,0.50,AZ
GİYİM,28.3,59400.87,0.34,0.43,0.96,0.44,0.56,0.87,AZ
GIDA,69.7,68851.39,0.27,0.75,0.01,0.80,0.20,0.52,AZ
OTOMOTİVE,56.8,57461.33,0.32,0.65,0.72,0.24,0.76,0.95,AZ
BEYAZ EŞYA,42.8,62668.07,0.36,0.68,0.68,0.81,0.19,0.60,AZ
GIDA,41.3,64672.91,0.25,0.11,0.28,0.17,0.83,0.94,AZ
OTOMOTİVE,58,67975.56,0.32,0.61,0.47,0.86,0.14,0.82,AZ
GİYİM,47.6,58585.73,0.52,0.39,0.10,0.34,0.66,0.19,AZ
GİYİM,51.6,48309.11,0.46,0.77,0.83,0.14,0.86,0.37,AZ
GIDA,45.4,58847.61,0.31,0.61,0.06,0.22,0.78,0.44,AZ
BEYAZ EŞYA,44.8,56680.13,0.41,0.81,0.85,0.48,0.52,0.43,AZ
DİĞER,50,66085.94,0.39,0.19,0.61,0.33,0.67,0.56,AZ
BEYAZ EŞYA,38.4,63851.43,0.34,0.78,0.10,0.51,0.49,0.80,AZ
DİĞER,32.3,59514.35,0.34,0.97,0.50,0.99,0.01,0.52,AZ
OTOMOTİVE,58,64791.17,0.36,0.66,0.73,0.34,0.66,0.04,AZ
DİĞER,50.6,53356.31,0.23,0.30,0.43,0.44,0.56,0.44,AZ
GİYİM,27.5,62830.13,0.43,0.81,0.08,0.13,0.87,0.17,AZ
OTOMOTİVE,55.3,53892.29,0.50,0.17,0.40,0.25,0.75,0.29,AZ
DİĞER,45.5,61368.83,0.44,0.36,0.06,0.58,0.42,0.92,AZ
GİYİM,59,55724.26,0.30,0.60,0.46,0.99,0.01,0.25,AZ
GIDA,40.4,58312.97,0.51,0.46,0.81,0.31,0.69,0.99,AZ
GİYİM,53.1,55996.07,0.29,0.14,0.61,0.80,0.20,0.90,AZ
BEYAZ EŞYA,38.4,61708.21,0.38,0.74,0.92,0.43,0.57,0.35,AZ
GIDA,45.3,64678.87,0.22,0.98,0.48,0.31,0.69,0.31,AZ
DİĞER,63,61119.09,0.16,0.12,0.95,0.83,0.17,0.99,AZ
GİYİM,30.8,60232.26,0.24,0.81,0.42,0.25,0.75,0.30,AZ
GİYİM,40.2,67658.31,0.37,0.49,0.84,0.34,0.66,0.08,AZ
OTOMOTİVE,52,60350.09,0.39,0.97,0.66,0.91,0.09,0.13,AZ
OTOMOTİVE,40.5,67455.69,0.26,0.52,0.02,0.76,0.24,0.72,AZ
OTOMOTİVE,15.7,63071.32,0.36,0.94,0.96,0.08,0.92,0.44,AZ
GİYİM,46.7,57446.41,0.29,0.77,0.15,0.08,0.92,0.02,AZ
GİYİM,32.4,71239.42,0.33,0.40,0.22,0.50,0.50,0.84,AZ
MOBİLYA,33.7,54257.45,0.42,0.26,0.52,0.06,0.94,0.99,AZ
BEYAZ EŞYA,34.4,58807.25,0.32,0.81,0.36,0.83,0.17,0.12,AZ
GİYİM,32.6,49206.56,0.51,0.22,0.58,0.90,0.10,0.97,AZ
GIDA,39.9,56749.66,0.29,0.74,0.06,0.78,0.22,0.34,AZ
DİĞER,58.5,62395.82,0.27,0.81,0.49,0.42,0.58,0.60,AZ
MOBİLYA,32.4,66600.33,0.48,0.06,0.73,0.07,0.93,0.67,AZ
MOBİLYA,42.6,58754.34,0.38,0.78,0.79,0.10,0.90,0.10,AZ
DİĞER,47.3,58470.98,0.38,0.65,0.75,0.63,0.37,0.92,AZ
OTOMOTİVE,46.4,62746.4,0.18,0.91,0.13,0.23,0.77,0.67,AZ
GIDA,35.7,62401.63,0.32,0.26,0.07,0.57,0.43,0.87,AZ
MOBİLYA,10.4,59840.62,0.28,0.32,0.36,0.25,0.75,0.48,AZ
BEYAZ EŞYA,48.5,67769.02,0.33,0.22,0.03,0.63,0.37,0.49,AZ
OTOMOTİVE,55.2,70288.11,0.44,0.52,0.11,0.77,0.23,0.79,AZ
MOBİLYA,44.2,66111.43,0.24,0.91,0.75,0.81,0.19,0.84,AZ
GIDA,42.4,61972.12,0.34,0.22,0.17,0.94,0.06,0.15,AZ
OTOMOTİVE,51.3,69244.63,0.54,0.71,0.11,0.80,0.20,0.10,AZ
DİĞER,28.3,53848.87,0.32,0.52,0.72,0.42,0.58,0.04,AZ
OTOMOTİVE,36.9,65862.79,0.39,0.69,0.61,0.16,0.84,0.97,AZ
DİĞER,50.4,65748.51,0.36,0.67,0.38,0.86,0.14,0.32,AZ
DİĞER,23.9,50993.02,0.44,0.44,0.68,0.25,0.75,0.53,AZ
DİĞER,53.9,52218.95,0.40,0.01,0.40,0.24,0.76,0.40,AZ
DİĞER,43.5,51117.92,0.41,0.67,0.02,0.84,0.16,0.11,AZ
OTOMOTİVE,30,51995.78,0.34,0.49,0.12,0.51,0.49,0.55,AZ
MOBİLYA,30.5,50953.14,0.27,0.92,0.78,0.43,0.57,0.95,AZ
DİĞER,32.4,50289.49,0.40,0.35,0.42,0.22,0.78,0.86,AZ
GİYİM,48.4,69206.55,0.50,0.81,0.54,0.36,0.64,0.37,AZ
MOBİLYA,30.4,56574.67,0.25,0.07,0.46,0.84,0.16,0.64,AZ
GİYİM,32.6,69852.19,0.36,0.17,0.31,0.25,0.75,0.70,AZ
